"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPR032W",86.7353302292638,-0.300941222560425,0.265374247122678,1.28577230378198,0.525772772044412,0.570081765873768
"YBL093C",64.9799398718354,-0.287385041419182,0.262414765979384,1.28530463736573,0.525895729553659,0.570104127134352
"YKR079C",34.5002772740819,0.0157419750228697,0.319804123362012,1.28175394249777,0.526830206452801,0.571006046721509
"YLR015W",62.2272612097939,-0.296582922850299,0.281553501257483,1.28083785847441,0.527071572093959,0.571156531440468
"YDL201W",44.3439540166518,0.311623003316321,0.298806188087604,1.27950514996745,0.527422905521175,0.571426100089161
"YAL034W-A",11.100512551622,-0.175448000347995,0.492168336006633,1.27777603081391,0.527879091216591,0.571809141973095
"YNL123W",192.118254522667,0.214928184183551,0.243259295671145,1.27642224086046,0.528236530882664,0.572085092058189
"YJL112W",201.737205963425,-0.02271235322448,0.200643477098113,1.2758200623211,0.528395601179942,0.572146140752859
"YDL142C",43.6970188339955,-0.341626486632276,0.311102644673403,1.27094104667515,0.529686199955502,0.573320734399087
"YJL094C",335.61281672357,0.197486733790095,0.259445716055961,1.27107570976942,0.529650536564811,0.573320734399087
"YGR147C",96.9906940371884,0.0343698836596365,0.230467001322382,1.27050731864654,0.529801082287618,0.573333688699363
"YOR110W",50.2688995493575,0.325229451955453,0.333513511719637,1.26954841665008,0.530055156848667,0.573497238066405
"YLR389C",259.020689553542,-0.119001873758996,0.207645925048998,1.26307368272596,0.531773920534774,0.575245147825092
"YGR268C",22.4396315565405,0.324462454001322,0.427725913433421,1.25725099944075,0.533324351916691,0.576810321205181
"YKL210W",463.910770778977,-0.243653130725892,0.230624002412481,1.2546994827602,0.534005179099858,0.577322501992104
"YPL024W",78.5573840862841,0.250714314522999,0.291445019789957,1.25503118468843,0.533916621169974,0.577322501992104
"YGR263C",40.7355229760202,-0.300989615586689,0.278077257052105,1.24622426708721,0.536272885062326,0.579661669127323
"YNL126W",46.9848256249606,-0.310473428822987,0.296695395660739,1.24410553754433,0.53684129468805,0.580163501980044
"YBR094W",70.4570993683399,0.255184211135331,0.263274261468336,1.24048110022039,0.537815050563588,0.581103112236181
"YPL191C",19.1440952541939,-0.365492240459023,0.404902599409445,1.22693212823267,0.541470840157165,0.584939703415855
"YML031W",105.983367386307,0.18883219872563,0.218473339717898,1.22618737949814,0.541672507564216,0.585044113927927
"YMR106W-A",10.1825897012335,-0.529508482771141,0.532775925063708,1.2256653999271,0.541813897005585,0.585083392172536
"YDR502C",107.919489231781,-0.278048463115781,0.302885962187792,1.22418626233758,0.54221475386872,0.585346374247454
"YGR047C",134.259524624451,-0.0361708978390431,0.244726777389914,1.22399145221884,0.542267570901294,0.585346374247454
"YLR063W",9.60632704623715,-0.0171881244176372,0.553697676177506,1.21633187700755,0.544348322398175,0.587478594358821
"YDR151C",93.3994175731922,0.234560750239441,0.236061157435168,1.20847013750361,0.546492295832713,0.589678206485385
"YML082W",33.6794723758621,-0.117287196961268,0.344947187739232,1.20312577286718,0.547954575751825,0.591141545606781
"YDR453C",21.1871982537246,0.306346038739558,0.368650350349023,1.19817570954884,0.549312460385151,0.592377026094788
"YNR057C",7.38742340137238,0.399230183011122,0.60017250047618,1.19846868900643,0.549231997645431,0.592377026094788
"YAL014C",22.8835024202818,-0.1779931328785,0.40789493074748,1.19386623633935,0.550497360166003,0.593539925195434
"YGR042W",53.4130151127349,0.252295002096523,0.316758413861668,1.1932347364685,0.550671207116567,0.59361247965294
"YGR277C",56.4249777233001,0.0172281304062209,0.268929839170502,1.18783082547922,0.552161108127058,0.595103411370834
"YBR111W-A",27.6973050377609,-0.427959076369926,0.41162410406148,1.18740429419032,0.552278877679279,0.595115208423842
"YGL242C",22.2397356046861,-0.264710675641916,0.394496733391455,1.18663476994817,0.552491414557126,0.595229098916602
"YLR326W",40.8498437812221,-0.0899445374933277,0.284860646493102,1.18498302676671,0.552947889989632,0.595605702848461
