"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YNL064C",459.360028875357,0.45534825297924,0.154635991332284,2.94453148816143,0.0032344403227403,0.0107512333162209,"Thin_vs_Early","S000005008","YDJ1","855661","YDJ1"
"YDR128W",96.6457169211184,-0.639525158649716,0.217176843794846,-2.94288661200949,0.00325167491252729,0.0108001424606512,"Thin_vs_Early","S000002535","MTC5","851706","MTC5"
"YMR093W",26.4127397643361,0.886030973678115,0.300313348968976,2.94275746661193,0.0032530316009644,0.0108001424606512,"Thin_vs_Early","S000004699","UTP15","855118","UTP15"
"YLR361C",45.6416164807315,-0.795944962011115,0.270076987109905,-2.94172809210263,0.00326386375918996,0.010829651579778,"Thin_vs_Early","S000004353","DCR2","851075","DCR2"
"YGR264C",182.506860293958,0.826026337612131,0.281195342171041,2.93588863305499,0.00332593704052703,0.0110290447933191,"Thin_vs_Early","S000003496","MES1","853181","MES1"
"YJR086W",16.5928004400181,1.4489737228828,0.492738930876668,2.93535884154514,0.00333162157322368,0.0110347584925262,"Thin_vs_Early","S000003846","STE18","853548","STE18"
"YKR100C",223.673116121451,-0.70777290101314,0.241148342146321,-2.93541282065286,0.0033310419860873,0.0110347584925262,"Thin_vs_Early","S000001808","SKG1","853975","SKG1"
"YLR432W",97.1695922805827,0.791661204146522,0.26978267302316,2.9340366402657,0.00334584708631693,0.0110752906226213,"Thin_vs_Early","S000004424","IMD3","851152","IMD3"
"YER041W",43.5478689326067,-0.812716188878268,0.276733473286417,-2.93308440072265,0.00335612643494507,0.0111027199341324,"Thin_vs_Early","S000000843","YEN1","856764","YEN1"
"YHR163W",83.967773158107,0.888006600866783,0.302607354023618,2.93226047113837,0.00336504388577551,0.0111256139392613,"Thin_vs_Early","S000001206","SOL3","856568","SOL3"
"YGR257C",80.7788280323611,-0.621319128188304,0.211878762401991,-2.92868099224621,0.00340403586060693,0.0112478551479485,"Thin_vs_Early","S000003489","MTM1","853173","MTM1"
"YDR261C",123.933193623842,0.828995503417283,0.283157950955322,2.92795676064666,0.00341197491617382,0.0112674050136362,"Thin_vs_Early","S000002669","EXG2","851848","EXG2"
"YFL010C",30.23860309286,0.920190796566618,0.313899832924624,2.92488876403166,0.00344579370671082,0.0113723440403353,"Thin_vs_Early","S000001884","WWM1","850538","WWM1"
"YCR081W",48.7162976981043,-0.806267655276448,0.275425888441388,-2.92179252551215,0.00348023287989269,0.0114724126472675,"Thin_vs_Early","S000000677","SRB8","850442","SRB8"
"YKR055W",34.1787542459461,-0.834168092399935,0.284889433061162,-2.92182896739796,0.00347982572498161,0.0114724126472675,"Thin_vs_Early","S000001763","RHO4","853929","RHO4"
"YPL129W",80.9275216895307,0.769982293706877,0.26351418937004,2.92157413859081,0.00348267376390555,0.0114736697449544,"Thin_vs_Early","S000006050","TAF14","855974","TAF14"
