"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YNCA0001W",7.30723061455896,-1.77012789286212,0.606181853880525,-2.8031273316577,0.0050609683863097,0.0115599241000949,"Mature_vs_Early","S000119380","HRA1","9164866","HRA1"
"YKL162C",37.6348348180748,-0.912021402408321,0.324958069668674,-2.79921577752526,0.00512268925013762,0.0116961073002117,"Mature_vs_Early","S000001645",NA,"853695","YKL162C"
"YGL149W",50.3532481099407,1.04458366892743,0.372721276828686,2.79864803532478,0.00513170403754281,0.0117118898783904,"Mature_vs_Early","S000003117",NA,"852727","YGL149W"
"YKR105C",13.1323270415014,-1.427191190085,0.504558383004569,-2.79772622716129,0.00514637133590869,0.011740554755261,"Mature_vs_Early","S000001813","VBA5","853980","VBA5"
"YGR020C",116.456259638667,0.535901677117793,0.191651125310666,2.79632159557315,0.00516879390858975,0.0117868812381308,"Mature_vs_Early","S000003252","VMA7","852903","VMA7"
"YAR019C",38.425064820942,-0.777679304191935,0.277335362863014,-2.79530431168935,0.00518508820936497,0.0118143666316451,"Mature_vs_Early","S000000072","CDC15","851274","CDC15"
"YOL012C",68.0312340952921,0.704780110754222,0.25206530333172,2.79535630040192,0.00518425435830925,0.0118143666316451,"Mature_vs_Early","S000005372","HTZ1","854150","HTZ1"
"YHR045W",74.9025083267911,-0.762088759809584,0.27284785067469,-2.79433259399085,0.00520069598380705,0.0118450847611566,"Mature_vs_Early","S000001087","DDE1","856441","DDE1"
"YIL013C",84.8013576647026,-0.614633282217166,0.219784268864804,-2.79366953734612,0.00521137038238364,0.0118643248332375,"Mature_vs_Early","S000001275","PDR11","854802","PDR11"
"YJL041W",80.2557075443951,0.692650507714069,0.247914926802234,2.79354342753953,0.00521340283463746,0.0118643248332375,"Mature_vs_Early","S000003577","NSP1","853409","NSP1"
"YKR005C",32.3951755477155,-0.911527890418265,0.325911687429478,-2.79076722197695,0.00525832743423162,0.0119616750249507,"Mature_vs_Early","S000001713",NA,"853874","YKR005C"
"YBL009W",20.5854858475322,1.06562700076872,0.381731068880669,2.78755883764725,0.00531068095120539,0.0120758381955776,"Mature_vs_Early","S000000105","ALK2","852274","ALK2"
"YML079W",44.5736628659303,0.753370749348533,0.270268785472183,2.78720675540026,0.00531645470280413,0.0120840347406454,"Mature_vs_Early","S000004544","CFF1","854896","CFF1"
"YLR200W",21.8645075009295,1.31993229361936,0.473207142524864,2.78449383471553,0.00536113402770463,0.0121806189512,"Mature_vs_Early","S000004190","YKE2","850897","YKE2"
"YDR289C",79.8339542567986,0.978423064141701,0.351768102562257,2.78052205369313,0.00542715732985544,0.0123255986484405,"Mature_vs_Early","S000002697","RTT103","851884","RTT103"
"YDL035C",221.975773389603,-0.631510805793909,0.227022076586049,-2.78001529064539,0.00543563389494479,0.0123398192456143,"Mature_vs_Early","S000002193","GPR1","851527","GPR1"
"YHR015W",11.1933100390725,1.44597215542994,0.515979751854699,2.77863091536825,0.00545885113206959,0.0123874784752585,"Mature_vs_Early","S000001057","MIP6","856408","MIP6"
"YJL025W",22.0904717142691,-1.02008998414104,0.365687172454596,-2.7762305155592,0.00549932029031677,0.0124742318148838,"Mature_vs_Early","S000003562","RRN7","853428","RRN7"
"YPL116W",84.3580852972679,0.613045006268697,0.221019208789841,2.77371502621413,0.0055420201702597,0.0125659724739588,"Mature_vs_Early","S000006037","HOS3","855987","HOS3"
"YDL234C",188.421767656335,0.477879675001755,0.172310979428703,2.77358252293168,0.00554427765739635,0.0125659767409907,"Mature_vs_Early","S000002393","GYP7","851364","GYP7"
