"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YAL051W",106.617638685393,-0.0438595808531212,0.217880818505734,-0.198723022724041,0.842479413661839,0.893791175951561,"NS","S000000048","OAF1","851247","OAF1"
"YAL053W",171.40334978152,0.944465661655855,0.258444477147893,3.65565626725615,0.000256524888341561,0.001208030560398,"NS","S000000049","FLC2","851246","FLC2"
"YAL054C",111.865303068036,-0.215643757650584,0.262823747387717,-0.820841256376418,0.411736695295417,0.532942641610309,"NS","S000000050","ACS1","851245","ACS1"
"YAL055W",39.3702440814496,-0.316679530792126,0.40761882223997,-0.777592582733183,0.436809235093957,0.556984263838048,"NS","S000000051","PEX22","851244","PEX22"
"YAL056W",219.85044759005,0.952405439980058,0.245416840586948,3.88413615421221,0.000102694351022753,0.000542308336140597,"NS","S000000052","GPB2","851243","GPB2"
"YAL058W",21.2665139049803,1.1387282326039,0.45915563964649,2.48009671947871,0.0131346749124738,0.0336738490277917,"Up","S000000054","CNE1","851241","CNE1"
"YAL059W",26.2865077603191,0.956247347405056,0.369121486430708,2.58559073037571,0.00972122837923525,0.026289788010058,"NS","S000000055","ECM1","851240","ECM1"
"YAL060W",301.474535427126,-1.85726176732943,0.251320961991319,-7.3886641960058,1.4831119936063e-13,4.30334214394828e-12,"Down","S000000056","BDH1","851239","BDH1"
"YAL061W",163.253613746893,-0.634240806835375,0.209168413685698,-3.03019252858987,0.00244397890617346,0.00831905944720626,"NS","S000000057","BDH2","851238","BDH2"
"YAL062W",69.8779245295002,0.294632452989988,0.273569690008704,1.07287230939729,0.283328411673018,0.402556128903438,"NS","S000000058","GDH3","851237","GDH3"
"YAL063C",34.5469266661889,-0.487023774402213,0.303044234966218,-1.60632534236311,0.108202444982888,0.18843257924341,"NS","S000000059","FLO9","851236","FLO9"
"YAL067C",59.7425149101643,0.998728772297884,0.253736815461363,3.9234227858296,8.72997533035896e-05,0.00046944683943465,"NS","S000000062","SEO1","851230","SEO1"
"YAR002C-A",110.380032926302,1.41798728276206,0.23085356937831,6.13087788346744,8.73954702841249e-10,1.37536769760695e-08,"Up","S000002129","ERP1","851264","ERP1"
"YAR002W",54.5691090815228,0.651102383951897,0.284045344561767,2.29334153891679,0.0218283495115802,0.0504744149355261,"NS","S000000063","NUP60","851263","NUP60"
"YAR003W",45.9773163803997,2.14509083385648,0.338272346179743,6.27051501086957,3.59855854550907e-10,6.03842459549128e-09,"Up","S000000064","SWD1","851265","SWD1"
"YAR007C",93.9279878487008,0.552683049795526,0.258292867124422,2.13884709674746,0.0324480537565103,0.070162970196147,"NS","S000000065","RFA1","851266","RFA1"
"YAR008W",28.5089803248827,1.41673335612346,0.354188182339437,3.97563075805237,7.01929631988108e-05,0.000388712721650671,"Up","S000000066","SEN34","851267","SEN34"
"YAR014C",69.2638131801715,1.73313232739861,0.269381032810775,6.40978331004023,1.45726609094425e-10,2.67053598442447e-09,"Up","S000000069","BUD14","851271","BUD14"
"YAR015W",115.541159396619,1.86184562055745,0.229701562080037,8.08470108099562,6.23168503907796e-16,2.53406696005134e-14,"Up","S000000070","ADE1","851272","ADE1"
"YAR018C",11.6026056372418,1.26854924238157,0.456392973437186,2.73554741439834,0.00622766137302222,0.0179949696623998,"Up","S000000071","KIN3","851273","KIN3"
"YAR019C",38.425064820942,0.0123423425374149,0.289695542532359,0.0485775594584625,0.961255953805132,0.974728234191553,"NS","S000000072","CDC15","851274","CDC15"
"YAR023C",9.74836146026891,0.031453484970634,0.484336807732584,0.0741591441412516,0.940883754547157,0.958571836948769,"NS","S000000074","DFP1","851276","DFP1"
"YAR027W",24.1376929674086,1.54423049880094,0.348492853884817,4.33686936629057,1.44526461204204e-05,9.64259778884575e-05,"Up","S000000075","UIP3","851279","UIP3"
"YAR035W",8.77027225622759,0.881765292589535,0.550653307080595,1.54657148235465,0.121966610761262,0.206966241482915,"NS","S000000080","YAT1","851285","YAT1"
"YAR042W",112.968791599487,-0.0125278576270501,0.239275847553949,-0.0488054356189781,0.961074350341293,0.974721501138056,"NS","S000000081","SWH1","851286","SWH1"
"YAR050W",45.548847011659,-0.376442531575346,0.301656712879744,-1.24776287725941,0.212117907195392,0.322213798943721,"NS","S000000084","FLO1","851289","FLO1"
"YAR068W",21.1784151951686,2.40249837672023,0.436508836057424,5.29226724821691,1.20809173953357e-07,1.24174890792278e-06,"Up","S000000091",NA,"851296","YAR068W"
"YBL001C",230.877856011119,-1.23230759497962,0.213855367247604,-5.75999937097963,8.41142495498129e-09,1.09486094449067e-07,"Down","S000000097","ECM15","852285","ECM15"
"YBL002W",335.339875898333,0.465378711858817,0.221387846570971,2.10142263738456,0.0356038825042057,0.0759376835493605,"NS","S000000098","HTB2","852284","HTB2"
"YBL003C",484.429120797114,-0.689274213898103,0.151180609614228,-4.55933212866818,5.13165584396299e-06,3.80671833644711e-05,"NS","S000000099","HTA2","852283","HTA2"
"YBL004W",266.732216820809,0.634232521827597,0.215574111453099,2.94376008315756,0.00324251251552872,0.0105023472232619,"NS","S000000100","UTP20","852282","UTP20"
"YBL005W",58.0562452492581,-0.043207966950946,0.254685599702139,-0.167571345714195,0.866920515205417,0.911522707869023,"NS","S000000101","PDR3","852278","PDR3"
"YBL006C",78.250430740234,0.0889429112030948,0.215701140654601,0.409761626311115,0.68198081828397,0.771434545920812,"NS","S000000102","LDB7","852277","LDB7"
"YBL007C",289.92084130441,-1.01914966924868,0.19090524914534,-5.33822897570637,9.38588774149129e-08,9.82871815936993e-07,"Down","S000000103","SLA1","852276","SLA1"
"YBL008W",52.0392905633418,0.689436293832353,0.283346404145467,2.4338962644482,0.0149372752972076,0.0371956526501472,"NS","S000000104","HIR1","852275","HIR1"
"YBL009W",20.5854858475322,-0.754250276262693,0.373970628842756,-2.01717451336982,0.0436773047958099,0.0895569617289131,"NS","S000000105","ALK2","852274","ALK2"
"YBL010C",21.9037308495735,0.506815523888428,0.363560075920354,1.39272975165139,0.16370152824804,0.261088237580828,"NS","S000000106","LAA2","852273","LAA2"
"YBL011W",114.248335041589,-1.24603194178695,0.282693631336263,-4.40575988717023,1.05413681641191e-05,7.28609950897119e-05,"Down","S000000107","SCT1","852271","SCT1"
"YBL014C",57.0688354140351,0.495013190322652,0.274156265010471,1.81115039581644,0.0701175742775776,0.131656557566695,"NS","S000000110","RRN6","852269","RRN6"
"YBL015W",367.383427645809,-0.953902844755913,0.204543004462066,-4.66273301297204,3.12037463788077e-06,2.438093563483e-05,"NS","S000000111","ACH1","852266","ACH1"
"YBL016W",26.4715446097887,-0.0451533687721082,0.309914804539005,-0.1492430867696,0.881361822353764,0.920485414581833,"NS","S000000112","FUS3","852265","FUS3"
